TERMINAL_NO,TRANDATE,RECENCYDATE,TRANNUMDAYS,FREQUENCY,AMOUNT,TC,TRAN_PURCHASE,TRAN_CHARGE,TRAN_BALANCE,TERM_POS,TERM_IPG
4133705,140010,14001030,25,131,469340000,262540.0,131,0,0,0,0
41294305,140010,14001029,21,46,1943933000,84460.0,41,5,0,0,0
